id;medication_id;interacting_drug;interaction_type;severity;description;recommendation;created_at
39ebff17-0c3b-4300-9f7c-e65bb3fdfbf7;4253bb10-295b-4023-b6f6-19e9b2ecd581;Antidiabetika;potentiation;major;Propranolol schwächt eine hypoglykämisch bedingte Tachykardie ab. Die hypoglykämische Reaktion auf Insulin kann verlängert sein.;Propranolol sollte man nur vorsichtig mit Antidiabetika zusammen verabreichen. Vorsicht bei gleichzeitiger Verabreichung von Propranolol Zentiva und Antidiabetika.;2025-12-07 22:09:20.521155+00
791edb5d-cb48-47ad-8773-09e8630a9354;4253bb10-295b-4023-b6f6-19e9b2ecd581;Digitalisglykoside;potentiation;moderate;In Kombination mit Betablockern können Digitalisglykoside die AV-Überleitungszeit verlängern.;Vorsicht geboten.;2025-12-07 22:09:20.580939+00
9cbf4016-5e1a-4477-8862-0fd718cb7b32;4253bb10-295b-4023-b6f6-19e9b2ecd581;Cimetidin und Hydralazin;increased_toxicity;minor;Erhöhen die Plasmaspiegel von hepatisch metabolisierten Betablockern.;Vorsicht geboten.;2025-12-07 22:09:20.629016+00
0945c063-57b2-4f60-a00e-e08f302bcc84;4253bb10-295b-4023-b6f6-19e9b2ecd581;Alkohol;increased_toxicity;minor;Gleichzeitige Einnahme von Alkohol kann den Plasmaspiegel von Propranolol erhöhen.;Vorsicht geboten.;2025-12-07 22:09:20.684815+00
9de14b92-eec2-41c5-823a-7ee277ce8b74;4253bb10-295b-4023-b6f6-19e9b2ecd581;Ergotamin, Dihydroergotamin oder ähnliche Substanzen;potentiation;moderate;Riefen vereinzelt vasospastische Reaktionen hervor.;Vorsicht ist geboten.;2025-12-07 22:09:20.731796+00
c01d7ada-77ba-4ef6-955b-77e8d9837058;4253bb10-295b-4023-b6f6-19e9b2ecd581;Prostaglandin-Synthese-Hemmer (wie Ibuprofen und Indometacin);decreased_efficacy;minor;Können die antihypertensive Wirkung von Propranolol vermindern.;Vorsicht geboten.;2025-12-07 22:09:20.776049+00
7cc00a03-6746-415e-a5d9-90c4a6f26a5d;4253bb10-295b-4023-b6f6-19e9b2ecd581;Chlorpromazin;potentiation;moderate;Kann zu erhöhten Plasmaspiegeln beider Substanzen kommen. Dies kann zu einem verstärkten antipsychotischen Effekt von Chlorpromazin und zu einer stärkeren antihypertensiven Wirkung von Propranolol führen.;Vorsicht geboten.;2025-12-07 22:09:20.82268+00
cbd732b5-791f-417f-8a0a-e68c9b1245a3;4253bb10-295b-4023-b6f6-19e9b2ecd581;Chinidin, Propafenon, Rifampicin, Theophyllin, Warfarin, Thioridazin;increased_toxicity;moderate;Propranolol kann mit diesen Wirkstoffen interagieren, da es die Leberenzymsysteme beeinflusst, welche für die Metabolisierung verantwortlich sind. Die Blutkonzentrationen dieser Wirkstoffe oder jene von Propranolol können verändert sein.;Dosisanpassung soll je nach klinischer Beurteilung vorgenommen werden.;2025-12-07 22:09:20.892196+00
4b2a2732-2d61-4b72-8360-ab76bd581416;1066ee55-d10a-4314-bf5d-29f4a58a53c6;Andere antihypertensive Wirkstoffe (Alphablocker, Diuretika);potentiation;moderate;Der blutdrucksenkende Effekt von Vascord kann durch gleichzeitige Einnahme von anderen antihypertensiven Wirkstoffen verstärkt werden.;Überwachung des Blutdrucks.;2025-12-07 22:10:17.978235+00
bb1cace5-f0f3-4c43-b849-a541d7e59105;1066ee55-d10a-4314-bf5d-29f4a58a53c6;ACE-Hemmer, Angiotensin-II-Rezeptor-Antagonisten oder Aliskiren;increased_toxicity;contraindicated;Erhöhtes Risiko für Hypotonie, Hyperkaliämie und Abnahme der Nierenfunktion (einschliesslich akuten Nierenversagens).;Kontraindiziert bei Diabetes mellitus oder eingeschränkter Nierenfunktion (GFR < 60 ml/min/1.73 m2). Eine duale Blockade des RAAS wird nicht empfohlen. Wenn absolut notwendig, nur unter Aufsicht eines Spezialisten und unter Durchführung engmaschiger Kontrollen von Nierenfunktion, Elektrolytwerten und Blutdruck.;2025-12-07 22:10:18.008534+00
782fdfe4-9a91-4522-bcc0-836468a3e0f3;1066ee55-d10a-4314-bf5d-29f4a58a53c6;Kaliumsparende Diuretika, Kaliumsupplementation, Salzsubstitution mit Kalium oder andere Arzneimittel, die die Serumkonzentration von Kalium erhöhen können (z.B. Heparin);increased_toxicity;moderate;Können die Serumkonzentration von Kalium erhöhen und zu Hyperkaliämie führen.;Kontrolle der Serumkonzentration von Kalium empfohlen.;2025-12-07 22:10:18.034483+00
0b644c4d-39d3-477d-94ba-f701f78a7f09;1066ee55-d10a-4314-bf5d-29f4a58a53c6;Lithium;increased_toxicity;major;Reversible Steigerung der Lithiumkonzentration im Serum und gesteigerte Toxizität. Das Risiko einer Lithiumtoxizität kann zusätzlich durch gleichzeitige Anwendung von Diuretika und Vascord erhöht werden.;Gleichzeitige Anwendung nicht empfohlen. Wenn notwendig, engmaschige Kontrolle des Serumlithiumspiegels.;2025-12-07 22:10:18.070529+00
e2a3298a-8a5d-4a2a-9c43-0ece23852b4d;1066ee55-d10a-4314-bf5d-29f4a58a53c6;Nichtsteroidale anti-inflammatorische Arzneimittel (NSAID), inklusive selektive COX-2-Hemmer, Acetylsalizylsäure (> 3 g/Tag) und nichtselektive NSAID;decreased_efficacy;moderate;Abschwächung der antihypertensiven Wirkung und erhöhtes Risiko einer Verschlechterung der Nierenfunktion und Anstieg des Serumkaliums möglich.;Kontrolle der Nierenfunktion zu Beginn der Kombinationstherapie sowie ausreichende Hydratation des Patienten empfohlen.;2025-12-07 22:10:18.099588+00
b2a45b2f-6663-4273-bcc8-5349398f65c9;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Alkohol, Barbiturate und andere zentral dämpfende Pharmaka;potentiation;moderate;Trimipramin Sandoz verstärkt die Wirkung von Alkohol, Barbituraten und anderen zentral dämpfenden Pharmaka.;Vermeiden Sie den Konsum alkoholischer Getränke und sonstiger alkoholhaltiger Arzneimittel. Eine verminderte Wachsamkeit kann das Führen von Fahrzeugen und das Bedienen von Maschinen gefährlich machen.;2025-12-07 22:10:45.273302+00
49669512-d4fc-4fde-9870-f8b24f8acb93;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Antiarrhythmika (Typ Ia wie Chinidin, Typ III wie Amiodaron);potentiation;moderate;Trimipramin kann die Wirksamkeit von Antiarrhythmika verstärken.;;2025-12-07 22:10:45.503807+00
e4abbdb1-3f6b-42c1-8795-9bc20e214b4f;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Cimetidin;potentiation;moderate;Bei einer zugleich bestehenden Therapie mit Cimetidin kann die Plasmakonzentration trizyklischer Antidepressiva erhöht werden.;;2025-12-07 22:10:45.73616+00
0e65cc05-c3bf-4958-bafe-46afbde28666;eabdc996-ff60-4bb1-8643-83dfc8173b1d;Phenytoin;decreased_efficacy;moderate;CYP3A4-Induktoren wie Carbamazepin und Phenytoin erhöhen die Mirtazapin-Clearance um das Zweifache mit der Folge, dass die Mirtazapin-Plasmakonzentrationen im Durchschnitt um 60% respektive 45% sinken.;Falls Phenytoin oder ein anderer Induktor des hepatischen Metabolismus (wie Rifampicin) einer Mirtazapin-Behandlung hinzugefügt wird, muss die Mirtazapin-Dosis gegebenenfalls erhöht werden. Falls die Behandlung mit solchen Arzneimitteln abgebrochen wird, muss die Mirtazapin-Dosis gegebenenfalls reduziert werden.;2025-12-07 22:11:12.233222+00
60352be1-6589-44db-b3cd-3d86fcd0abef;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Anticholinergika (z.B. Antiparkinsonika, Antihistaminika, Neuroleptika, Antidepressiva, Atropin);potentiation;moderate;Die gleichzeitige Verabreichung von anticholinergen Medikamenten kann die parasympatholytische Wirkung von Trimipramin Sandoz verstärken.;;2025-12-07 22:10:45.30694+00
f528ef43-3c58-4e2d-9810-783090f70bdf;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;"Serotoninergene Wirkstoffe (SSRl wie Fluoxetin, Paroxetin, Sertralin, Citalopram, Fluvoxamin; Triptane, Buspiron, Bupropion; Opioide wie Tramadol, Pethidin, Buprenorphin, Dextromethorphan)";increased_toxicity;major;Bei gleichzeitiger Anwendung kann ein Serotonin-Syndrom auftreten (Verwirrtheit, Hyperpyrexie, Hyperreflexie, Koordinationsstörungen).;Patienten sollten sorgfältig in Hinblick auf Symptome eines Serotonin-Syndroms beobachtet werden. Treten solche Anzeichen auf, sollte das Absetzen des entsprechenden Arzneimittels erwogen werden.;2025-12-07 22:10:45.538382+00
5b47d53b-4043-4aab-aa06-2ce03c62b81a;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Sympathomimetika (inkl. Vasokonstriktoren in Lokalanästhetika);potentiation;major;Die gleichzeitige Verabreichung von Trimipramin Sandoz mit Sympathomimetika kann deren Wirkungen verstärken. Es kann eine paroxysmale Hypertonie mit möglicher Arrhythmie auftreten.;;2025-12-07 22:10:45.771484+00
0c81894c-74e0-4c5a-a6ac-c11cbf601855;eabdc996-ff60-4bb1-8643-83dfc8173b1d;Ketokonazol;increased_toxicity;moderate;Die gleichzeitige Verabreichung des potenten CYP3A4 Inhibitors Ketokonazol führt zu einer Erhöhung des Mirtazapin-Plasmaspiegels und der AUC von 40% bzw. 50%.;Vorsicht geboten und die Dosis sollte eventuell erniedrigt werden.;2025-12-07 22:11:12.265218+00
aa66d753-5c8a-432e-90ad-53458ee63c2f;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;MAO-Hemmer;contraindicated;contraindicated;Trimipramin Sandoz darf nicht gleichzeitig mit MAO-Hemmern verabreicht werden. Es können schweres toxisches Fieber, Krampfanfälle und Todesfälle auftreten (Serotonin-Syndrom).;MAO-Hemmer sollen mindestens 14 Tage vor Beginn der Therapie mit Trimipramin Sandoz abgesetzt werden. Ebenso muss nach Beendigung einer Trimipramin Sandoz-Therapie mindestens 1 Woche gewartet werden, bis eine MAO-Hemmer-Therapie eingeleitet werden darf.;2025-12-07 22:10:45.349497+00
c1f8e76c-3721-497e-a048-fa843d711fd1;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Substanzen mit bekannter QT-verlängernder, hypokaliämischer oder bradykardischer Wirkung;increased_toxicity;major;Trimipramin Sandoz ist bei Patienten, die bereits mit solchen Substanzen behandelt werden, mit Vorsicht anzuwenden.;Vorsicht bei der Anwendung.;2025-12-07 22:10:45.577166+00
7d46147e-5bea-4d31-99bc-627b63606b74;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Johanniskraut (Hypericum perforatum);increased_toxicity;major;Bei gleichzeitiger Anwendung von Serotonin-Wiederaufnahmehemmern und pflanzlichen Johanniskrautpräparaten können unerwünschte Wirkungen auftreten. Insbesondere kann es zu einer serotonergen Überstimulierung mit darauf folgendem Serotoninsyndrom kommen.;;2025-12-07 22:10:45.802087+00
d1799e15-7867-4488-925a-a40342c3de75;eabdc996-ff60-4bb1-8643-83dfc8173b1d;Cimetidin;increased_toxicity;moderate;Wenn Cimetidin (ein schwacher CYP1A2-, CYP2D6- und CYP3A4-Inhibitor) mit Mirtazapin verabreicht wird, kann die durchschnittliche Plasmakonzentration von Mirtazapin um mehr als 50% ansteigen.;Vorsicht geboten und die Dosis sollte eventuell erniedrigt werden.;2025-12-07 22:11:12.301659+00
de7fdd40-f386-4cfe-b42f-bd89bc105e2d;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Adrenerge Neuronenhemmer (Clonidin, Guanethidin, Bethanidin, Reserpin, Methyldopa);antagonism;moderate;Trizyklische Antidepressiva können die blutdrucksenkende Wirkung von diesen Medikamenten abschwächen oder aufheben.;Falls erforderlich sind Antihypertensiva eines anderen Wirkungstyps (Diuretika, Betablocker) zu verwenden.;2025-12-07 22:10:45.390348+00
fb7163eb-cf05-443f-929e-3e1f7a992466;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Selektive Serotonin-Wiederaufnahmehemmer (Fluoxetin, Paroxetin, Sertralin, Citalopram oder Fluvoxamin);potentiation;moderate;Durch Substratkonkurrenz bzw. Enzymhemmung (Cytochrom P-450 2D6) kann es zu einem Anstieg der Plasmakonzentration von Trimipramin kommen.;Eine Dosisreduktion von Trimipramin bzw. des Serotonin-Wiederaufnahmehemmers ist erforderlich.;2025-12-07 22:10:45.618154+00
f8eb5ad7-c83a-442b-a2e6-181eaad59d82;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Baclofen;increased_toxicity;moderate;Die gleichzeitige Anwendung von Baclofen und Trimipramin kann zu einem erhöhten Risiko für eine Muskelhypotonie führen.;;2025-12-07 22:10:45.83649+00
7704f81e-d1cd-45bd-88b8-1d3071beccdd;eabdc996-ff60-4bb1-8643-83dfc8173b1d;Potente CYP3A4-Inhibitoren (HIV-Protease-Inhibitoren, Azol-Antimykotika, Erythromycin, Nefazodon);increased_toxicity;moderate;Wenn Mirtazapin gemeinsam mit potenten CYP3A4-Inhibitoren, HIV-Protease-Inhibitoren, Azol-Antimykotika, Erythromycin, Cimetidin oder Nefazodon verabreicht wird, ist Vorsicht geboten.;Vorsicht geboten und die Dosis sollte eventuell erniedrigt werden.;2025-12-07 22:11:12.332753+00
dfbac207-bded-4edd-8351-750b0cae4fc3;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Andere trizyklische Antidepressiva;potentiation;moderate;Die gleichzeitige Verabreichung von anderen trizyklischen Antidepressiva kann das Auftreten einer Hypotonie begünstigen.;Die gleichzeitige Verabreichung ist daher nicht zu empfehlen.;2025-12-07 22:10:45.422301+00
36bc545e-83ab-4f9a-989d-9b0a4feb349d;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Substanzen, welche über Cytochrom P-450 2D6 metabolisiert werden und/oder dieses hemmen (z.B. Amitriptylin, Clozapin, Fluoxetin, Codein);potentiation;moderate;Die gleichzeitige Verabreichung kann zu Interaktionen führen.;;2025-12-07 22:10:45.654153+00
91adcdc7-07c6-4b38-a848-f7bb15120a78;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Antikonvulsiva (z.B. Valproinsäure und Valpromid);decreased_efficacy;major;Bei gleichzeitiger Einnahme von Trimipramin und einem Antikonvulsivum besteht ein Risiko für generalisierte Krampfanfälle. Dies hängt mit einer Herabsetzung der Krampfschwelle durch das Antidepressivum zusammen.;Eine klinische Überwachung ist empfohlen, eine Anpassung der Dosierung ist möglich. Wenn Krämpfe auftreten, ist die Behandlung abzubrechen.;2025-12-07 22:10:45.872372+00
f768e4d0-f61b-4e4d-b50c-49f9d5efa307;eabdc996-ff60-4bb1-8643-83dfc8173b1d;MAO-Hemmer (einschliesslich Linezolid);increased_toxicity;contraindicated;Mirtazapin soll weder zusammen mit MAO-Hemmern (einschliesslich Linezolid, ein Antibiotikum und reversibler, nicht-selektiver Monoaminooxidasehemmer), noch innerhalb der ersten zwei Wochen nach deren Absetzen verwendet werden. Auch sollen MAO-Hemmer frühestens zwei Wochen nach Abschluss einer Behandlung mit Mirtazapin verabreicht werden.;Contre-indiqué.;2025-12-07 22:11:12.162414+00
b0b77ed2-1114-43f4-9bc7-e9419dd80622;eabdc996-ff60-4bb1-8643-83dfc8173b1d;Andere QTc verlängernde Arzneimittel;potentiation;major;Nach Markteinführung von Mirtazapin wurde über Fälle von QT-Verlängerung, Torsade de Pointes, ventrikulärer Tachykardie und plötzlichem Tod berichtet. Die Mehrzahl der Berichte waren mit einer Überdosierung verbunden oder traten bei Patienten mit anderen Risikofaktoren für QT-Verlängerung, einschliesslich der gleichzeitigen Anwendung von anderen QTc verlängernden Arzneimitteln, auf.;Patienten mit Herzkreislaufkrankheiten oder mit QT-Verlängerung in der Familienanamnese sollten mit Vorsicht behandelt werden, dies gilt auch bei der gleichzeitigen Anwendung von anderen QTc verlängernden Arzneimitteln.;2025-12-07 22:11:12.364107+00
b530c1ca-0f9f-4c14-b3f3-5979f983eac8;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Appetitzügler (Amphetamin-Derivate);increased_toxicity;major;Die gleichzeitige Verabreichung von Trimipramin Sandoz mit Appetitzüglern kann zu hypertensiven Krisen führen.;;2025-12-07 22:10:45.464024+00
b7cf441f-2100-4908-981c-db6326b8c3e6;4caa7cd7-20f8-497d-b5c6-97c6dac6f2a2;Neuroleptika;potentiation;moderate;Bei einer Kombinationstherapie mit Neuroleptika kann es zur Erhöhung der Plasmakonzentration des trizyklischen Antidepressivums kommen.;;2025-12-07 22:10:45.697116+00
c56a8301-f344-4ba5-896f-0f918c316e54;eabdc996-ff60-4bb1-8643-83dfc8173b1d;Carbamazepin;decreased_efficacy;moderate;CYP3A4-Induktoren wie Carbamazepin und Phenytoin erhöhen die Mirtazapin-Clearance um das Zweifache mit der Folge, dass die Mirtazapin-Plasmakonzentrationen im Durchschnitt um 60% respektive 45% sinken.;Falls Carbamazepin oder ein anderer Induktor des hepatischen Metabolismus (wie Rifampicin) einer Mirtazapin-Behandlung hinzugefügt wird, muss die Mirtazapin-Dosis gegebenenfalls erhöht werden. Falls die Behandlung mit solchen Arzneimitteln abgebrochen wird, muss die Mirtazapin-Dosis gegebenenfalls reduziert werden.;2025-12-07 22:11:12.199114+00
ad4b70b8-ee1e-4b99-a6c2-9e76e365daac;eabdc996-ff60-4bb1-8643-83dfc8173b1d;Serotonerge Wirkstoffe (SSRI);potentiation;major;Das Serotonin-Syndrom kann auftreten, wenn selektive Serotonin-Wiederaufnahmehemmer (SSRI) gleichzeitig mit serotonergen Wirkstoffen verabreicht werden. Mögliche Symptome des Serotonin-Syndroms sind: Hyperthermie, Rigor, Myoklonus, autonome Instabilität mit möglichen schnellen Schwankungen der Vitalzeichen, Veränderungen des mentalen Zustands einschliesslich Verwirrung, Reizbarkeit und extreme Agitation fortschreitend bis zu Delirium und Koma.;Wenn diese Wirkstoffe mit Mirtazapin kombiniert werden, ist Vorsicht geboten und eine engmaschigere klinische Überwachung ist erforderlich. Wenn solche Ereignisse auftreten, sollte die Behandlung mit Mirtazapin Sandoz eco beendet und eine supportive Behandlung der Symptome begonnen werden.;2025-12-07 22:11:12.404538+00
fcc7b3c1-33df-4e77-b588-714b8196a21b;03a26ebc-65b6-488f-8711-da4ab28a579e;Probenecid;potentiation;moderate;L'utilisation concomitante de Probenecid peut affecter les niveaux plasmatiques de Penciclovir (métabolite actif de Famciclovir).;Surveillance toxicologique particulière et réduction éventuelle de la dose de Famvir si administré à 500 mg trois fois par jour sur plusieurs jours consécutifs.;2025-12-07 22:11:42.547004+00
ea6ad017-7d1e-4088-8c3b-8e760336e1dd;03a26ebc-65b6-488f-8711-da4ab28a579e;Allopurinol;;minor;Aucun changement cliniquement significatif de la pharmacocinétique de Penciclovir après administration d'une dose unique de 500 mg de Famciclovir après prétraitement par doses multiples d'Allopurinol.;;2025-12-07 22:11:42.577965+00
0f1c24e8-84f8-460c-995b-6d7dc2a7d4eb;03a26ebc-65b6-488f-8711-da4ab28a579e;Cimetidin;;minor;Aucun changement cliniquement significatif de la pharmacocinétique de Penciclovir après administration d'une dose unique de 500 mg de Famciclovir après prétraitement par doses multiples de Cimetidin. Les études cliniques sur l'interaction de Famciclovir avec la cimétidine n'ont pas montré d'effets pertinents sur la formation de penciclovir.;;2025-12-07 22:11:42.614749+00
e5088447-a85f-4f51-8f7d-a4edbab4986f;03a26ebc-65b6-488f-8711-da4ab28a579e;Theophyllin;;minor;Aucun changement cliniquement significatif de la pharmacocinétique de Penciclovir après administration d'une dose unique de 500 mg de Famciclovir après prétraitement par doses multiples de Theophyllin.;;2025-12-07 22:11:42.647955+00
ee0fc100-c72e-403c-9872-7d310396cc08;03a26ebc-65b6-488f-8711-da4ab28a579e;Zidovudin;;minor;Aucun changement cliniquement significatif de la pharmacocinétique de Penciclovir après administration d'une dose unique de 500 mg de Famciclovir après prétraitement par doses multiples de Zidovudin. Pas d'effet clinique significatif sur la pharmacocinétique de la Zidovudine ou de son métabolite.;;2025-12-07 22:11:42.679346+00
8f57199f-456f-467f-932e-64af21b95137;03a26ebc-65b6-488f-8711-da4ab28a579e;Promethazin;;minor;Aucun changement cliniquement significatif de la pharmacocinétique de Penciclovir après administration d'une dose unique de 500 mg de Famciclovir après prétraitement par doses multiples de Promethazin. Les études cliniques sur l'interaction de Famciclovir avec la prométhazine n'ont pas montré d'effets pertinents sur la formation de penciclovir.;;2025-12-07 22:11:42.711817+00
007bdde9-f47a-44fd-b07d-6aa6eb72cc52;03a26ebc-65b6-488f-8711-da4ab28a579e;Antacidum (Mg- et Al-Hydroxid);;minor;Aucun changement cliniquement significatif de la pharmacocinétique de Penciclovir peu après l'administration d'un Antacides.;;2025-12-07 22:11:42.744271+00
f0f5150f-05e9-4d40-bbb9-bd3280a5ab05;03a26ebc-65b6-488f-8711-da4ab28a579e;Emtricitabin;;minor;Aucun changement cliniquement significatif de la pharmacocinétique de Penciclovir en cas d'administration concomitante d'Emtricitabin. Pas d'effet clinique significatif sur la pharmacocinétique de l'Emtricitabine.;;2025-12-07 22:11:42.775741+00
a0333319-8824-406d-ae9d-a5b19258d255;03a26ebc-65b6-488f-8711-da4ab28a579e;Digoxin;;minor;Aucun impact clinique significatif sur la pharmacocinétique de Penciclovir après administration multiple (3x par jour) de Famciclovir (500 mg) avec des doses multiples de Digoxin. La pharmacocinétique de la Digoxine n'a pas été modifiée.;;2025-12-07 22:11:42.808502+00
7031529b-0638-4243-9c68-ea1b50130321;03a26ebc-65b6-488f-8711-da4ab28a579e;Raloxifen;decreased_efficacy;moderate;Le Raloxifène, l'inhibiteur le plus puissant de l'aldéhyde oxydase testé in vitro, pourrait influencer la formation de Penciclovir.;Si le Raloxifène est administré avec le Famciclovir, l'efficacité clinique du traitement antiviral doit être surveillée.;2025-12-07 22:11:42.868373+00
a3e4b55f-4065-44a8-9a90-499c2f75301f;03a26ebc-65b6-488f-8711-da4ab28a579e;Médicaments métabolisés par l'aldéhyde oxydase;;minor;Bien que le Famciclovir soit un faible inhibiteur de l'aldéhyde oxydase in vitro, des interactions avec des médicaments métabolisés par l'aldéhyde oxydase pourraient survenir.;;2025-12-07 22:11:42.901992+00
9a0f430f-f8f0-4552-9c0e-26be7d66c9c1;450f0e97-b5f3-410a-b168-1946d43d617a;Autres alpha-1-adrénergiques;potentiation;contraindicated;Théoriquement, il existe un risque de potentialisation des effets hypotenseurs en cas d'administration concomitante de chlorhydrate de tamsulosine avec d'autres médicaments antihypertenseurs.;Dutasterid Duo Spirig HC ne doit pas être utilisé en association avec d'autres bloqueurs des récepteurs alpha-1 adrénergiques.;2025-12-07 22:12:12.47396+00
5c10cf32-392a-4ad5-9663-a557a4370ec8;450f0e97-b5f3-410a-b168-1946d43d617a;Inhibiteurs de la PDE5;potentiation;moderate;Théoriquement, il existe un risque de potentialisation des effets hypotenseurs en cas d'administration concomitante de chlorhydrate de tamsulosine avec des inhibiteurs de la PDE5.;Dutasterid Duo Spirig HC ne doit être utilisé qu'avec prudence en association avec des inhibiteurs de la PDE5.;2025-12-07 22:12:12.506956+00
86d98c38-f611-4cfa-bc54-06533e02adf6;450f0e97-b5f3-410a-b168-1946d43d617a;Anesthésiques;potentiation;moderate;Théoriquement, il existe un risque de potentialisation des effets hypotenseurs en cas d'administration concomitante de chlorhydrate de tamsulosine avec des anesthésiques.;Utiliser avec prudence.;2025-12-07 22:12:12.558746+00
2ebc917c-a12f-406e-9185-27948fb1ed76;450f0e97-b5f3-410a-b168-1946d43d617a;Inhibiteurs puissants du CYP3A4 (ex: Itraconazole, Voriconazole, Posaconazole, Clarithromycine, Indinavir, Nelfinavir, Ritonavir, Saquinavir);increased_toxicity;major;L'administration concomitante de tamsulosine et d'inhibiteurs du CYP3A4 peut augmenter l'exposition à la tamsulosine, en particulier chez les métaboliseurs lents du CYP2D6.;Dutasterid Duo Spirig HC ne doit en principe pas être administré en même temps que des inhibiteurs puissants du CYP3A4.;2025-12-07 22:12:12.614356+00
9909dd1b-37c0-4bff-8760-5858b0291986;450f0e97-b5f3-410a-b168-1946d43d617a;Inhibiteurs modérés du CYP3A4 (ex: Erythromycine, Fluconazole, Vérapamil, Diltiazem);increased_toxicity;moderate;L'administration concomitante de tamsulosine et d'inhibiteurs modérés du CYP3A4 peut augmenter l'exposition à la tamsulosine.;Dutasterid Duo Spirig HC ne doit être administré qu'avec prudence en association avec des inhibiteurs modérés du CYP3A4.;2025-12-07 22:12:12.650589+00
c5cffe95-d9a3-4e61-9161-84fe55476193;450f0e97-b5f3-410a-b168-1946d43d617a;Inhibiteurs puissants ou modérés du CYP2D6 (ex: Paroxétine);increased_toxicity;moderate;L'administration concomitante de tamsulosine et d'inhibiteurs du CYP2D6 peut augmenter l'exposition à la tamsulosine, surtout si un inhibiteur du CYP3A4 est également présent.;Utiliser avec prudence, surtout en combinaison avec des inhibiteurs du CYP3A4.;2025-12-07 22:12:12.686306+00
930e60fb-67d7-45e1-9c11-e81973aa163b;450f0e97-b5f3-410a-b168-1946d43d617a;Inhibiteurs du CYP3A4 et CYP2D6 (ex: Amiodarone, Cimétidine, Imatinib);increased_toxicity;major;Ces médicaments peuvent entraîner une augmentation significative de l'exposition à la tamsulosine.;Utiliser avec prudence, en tenant compte du potentiel d'inhibition des deux enzymes.;2025-12-07 22:12:12.727143+00
37822ba2-5847-412b-9ebf-98506116d2e7;1f886eab-df18-4046-8dc5-79e680e8ca36;Co-Medikation;;;Co-Medikation kann die Glukose-Aufnahme ändern.;Co-Medikation ist zu beachten.;2025-12-07 22:12:33.46411+00
be7e5b01-b0ed-41b7-b050-35d70113234b;f9befbc4-6c7f-495c-85b7-988d34ec4f68;Fenofibrat;potentiation;minor;In einer pharmakokinetischen Studie erhöhte die gleichzeitige Anwendung von Ezetimib in Kombination mit Fenofibrat die Konzentration von Gesamt-Ezetimib um das ca. 1,5-fache.;Wird bei einem Patienten, der Ezetimib-Mepha und Fenofibrat erhält, eine Cholelithiasis vermutet, sind entsprechende Untersuchungen der Gallenblase angezeigt und eine alternative lipid-senkende Therapie sollte in Betracht gezogen werden. Eine Kombination von Ezetimib mit einem Statin und Fenofibrat wird nicht empfohlen, so lange bis diese Anwendung nicht untersucht wurde.;2025-12-07 22:14:02.511352+00
f1c33f08-17ac-4963-bece-0e2464ff8471;1f886eab-df18-4046-8dc5-79e680e8ca36;Entzündliche Prozesse;;;Entzündliche Prozesse können zu falsch positiven Resultaten führen.;Sorgfältige Anamnese vor der Untersuchung unabdingbar.;2025-12-07 22:12:33.513128+00
1c135ccd-0c0b-4377-8bc1-a883415cfa2c;08a96c32-6e1c-4f55-b3aa-480e5335a811;Orale Eisenpräparate, Produkte mit Eisen als Hauptbestandteil oder eisenhaltige Phosphatbinder;decreased_efficacy;moderate;Vafseo sollte mindestens 1 Stunde vor diesen Mitteln angewendet werden.;Trennung der Einnahme um mindestens 1 Stunde.;2025-12-07 22:13:29.178907+00
7f6a3839-b103-4eb5-8324-62fa53dce915;1f886eab-df18-4046-8dc5-79e680e8ca36;Kolonie-stimulierende Faktoren (CSFs);increased_toxicity;moderate;Erhöht die Fludeoxyglucose (18F)-Aufnahme in Knochenmark und Milz für mehrere Tage.;Ein Zeitabstand von mindestens 5 Tagen zwischen CSF-Behandlung und PET-Untersuchungen kann diesen Effekt verringern.;2025-12-07 22:12:33.552527+00
614815a2-17c4-4fbd-87c4-605f52f6f925;08a96c32-6e1c-4f55-b3aa-480e5335a811;Nicht-eisenhaltige Phosphatbinder oder andere Arzneimittel mit mehrwertigen Kationen (z.B. Calcium, Magnesium oder Aluminium);decreased_efficacy;moderate;Da Vadadustat mit mehrwertigen Kationen ein Chelat bilden kann.;Einnahme von Vafseo mindestens 1 Stunde vor oder 2 Stunden nach diesen Arzneimitteln.;2025-12-07 22:13:29.212645+00
